,title,content,date,variant,images,verified,author,rating,product,url
154,"Thick-It, or Forget It?","I just don't get it! My husband has been ""sick"" for 8 years, with his Parkinson's Disease and Dementia. And doctors/nurses/etc. have recommended Thick-It, so that he may supposedly, more easily swallow liquids and foods. But I do not find this to be effective at all, at least not  in my husband's case. I mix Thick-It into drinks and foods, only for my husband STILL to take forever chewing, eating, and swallowing anything. I see little or no difference in how he ingests his drinks and foods.",05 Apr 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Skeptical Customer,1.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=30
155,Four Stars,thickens good...but you need to keep stirring it or it turns to a gel,03 Jul 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Joanne,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=30
156,thick it thickener,"compares well to other thickeners!  I've tried several since I had a stroke in 1992!  Lots of years of surviving,",19 Jan 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,babestelle,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=30
157,One Star,Nunca me llego,21 Aug 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Berenice,1.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=30
158,Thick It,This was purchased for my 88 year old father who has dysphagia. It helps him and he seems happy with it.,23 Sep 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,I. C. Meyer,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=30
159,Five Stars,GREAT,05 Sep 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Marion Hershman,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
160,Thick it,There is such a wide gap in prices for this item. Thank you Amazon.com for showing comparisons so I could get the highest quality at the best value!,17 Oct 2011,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,denhcher,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
161,Five Stars,Works as expected,16 Oct 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Judy Price,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
162,Five Stars,It was a quick delivery but will order more.,12 Mar 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,tera,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
163,Five Stars,"Great product, arrived on schedule. Need to add to the subscription list",03 Oct 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Ohms,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
164,Just what my puppy ordered....,My foster puppy has ME and this is a necessity for him in order to keep him hydrated and survive!!!!!.,02 Oct 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Virginia Robertson,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
165,We Don't Want to Aspirate,"For people with trouble swallowing this is a must have.  Great product.  Great deal, especially with free shipping.  I recommend Thick-It for everyone with even a hint of dysphagia.",12 Apr 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Debby,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
166,Thickit,The product was some what dissappointing. I wanted something that would thicken considerably more than this will achieve. Thank you.,12 Aug 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Francis Wilson,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
167,Four Stars,Shipped promptly.  Serves my needs.,21 Apr 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Porter F Dobbins,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
168,Five Stars,Great,11 Aug 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Jim Moran,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=29
169,"Helps a lot, he doesn't chock on his coffee ...","Helps a lot,he doesn't chock on his coffee any more.",15 Sep 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Lou Ann Bee,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
170,Much thanks...,Had a newborn with swallowing issues.  This came in very handy to thicken her formula so that she could keep her food down.,16 Mar 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,C. Dean,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
171,Five Stars,Great price.,22 Apr 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Laura V.,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
172,My daughter tolerates this well,My daughter has Cerebral Palsy and has a bit of difficulty swallowing liquids. Thick It has helped her significantly and she no longers chokes during her bottle feeding. Very happy with this product will definitely purchase again.,20 Dec 2011,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Romina,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
173,Five Stars,It is helping with my dog that has Megasphoges hold down food and water,08 May 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,"""Diesel""",5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
174,Four Stars,My little boy has dysphagia and isn't phased by this thickener! Thank you!,20 Oct 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,The Staffords,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
175,Works very well. Easy to blend into everything from water to soups.,Purchased for In-Home Healthcare purposes.,03 Nov 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,R. Martin,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
176,Thick-it,"Works wonderfully, I have an elderly roommate and it helps her greatly with her favorite liquids and makes them much easier to swallow.",12 Feb 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,RUCKUS OF RUSSELLS,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
177,What I expected,"It came on time, I bot a lot so I didn't pay shipping.  It was what I expected.",02 Aug 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Joann,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
178,Works Good,"My Dad needed Thick-It so that he can swallow his liquids. Without this he would have to go on a feeding tube, so we are very thankful. For too much information, BUT it might be information that someone else might need. It caused him constipation so I have added a softer to his morning drink. This seems to be the right balance for him. And like I said this is much better than a feeding tube. Now I really  struggled with buying products such as this on line, but so far they have worked just fine. I save $5.00 each time I buy from Amazon instead of the local store. When your on a budget $5.00 is a lot.",20 Feb 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,dmelton,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=28
179,Thick-it,"My mother has a serious problem choaking when she drinks liquids.  ""Thick-It"" is a life saver.  Her water, tea, juices, all beverages can be thickened so that she can drink them without a problem.  This is an excellent product.",28 Apr 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,C. Luther,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
180,Does what it claims to do...,"I bought this for my mother with Alzheimer's (having trouble swallowing thin liquids). It works great in beverages, soups, etc. Personally, I don't like the idea that it is made with corn --- one of the biggest GMO crops on the market --- but can't seem to find an organic version. But under the circumstances, it's better than nothing.",01 May 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Rebecca Miller,3.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
181,Great value.,Price was best I’ve seen.,12 Jul 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Carolyn,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
182,Five Stars,doing it's job well.,01 Mar 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,stansylh,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
183,Satisfied customer,Good value for a much needed product.,20 Feb 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Cindy,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
184,Five Stars,The best out there,19 Sep 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Rod Cruz,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
185,Love the product,Great price,03 Jun 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Camelia Dieckmann,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
186,Thick It,"We heard about this product from my mother-in-law's doctor who said that she needed it.  I don't know how it tastes, but must be okay as that is one thing she hasn't complained about!",26 Mar 2012,,,Yes,bh,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
187,This is very good but needs to be added when liquid is hot ...,This is very good but needs to be added when liquid is hot and takes about 30 seconds to thicken the liquid.,17 Jun 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
188,Five Stars,A+,02 Jul 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Susan F,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=27
189,Five Stars,Great,11 Mar 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,george tabit,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
190,I bought for my mom,"Mom needs to have firmer, you know what. It is my mom so I got to be careful. She says that it does help her to be firmer and I think that reply is good news for a family member to hear. Give it a try, it may be the answer that you are looking for. My mom no longer has to wear the same cloths that she wore as a newborn, if you know what I mean.",04 May 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Joe M. Eckler,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
191,Great Product is as stated,my doctor recommended this product to me so i decided to buy 2 big cans to give it a try. i am disabled and have hard time eating solid foods. this thickener really works as stated and does not change the taste of the food you put it in to thicken up. you do need to follow instructions and mix well or it will taste gritty. but do as it states and it is perfect. i will be buying this on a regular basis and i am very happy with this product. it comes with a nice measuring spoon as well.,28 Mar 2012,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,R Zimmer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
192,Five Stars,Great stuff - my husband would choke without it.  Can't taste it in drinks or foods.,15 Jul 2014,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Patricia Castagna,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
193,Four Stars,got her in good condition,30 Apr 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,H. TORRES,4.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
194,Five Stars,Great product and a great price,02 Aug 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Deb,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
195,Five Stars,Dissolves easily,11 Sep 2016,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Brenda C.,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
196,Five Stars,This is just right for my mother who cannot eat or drink anything without it.  .,17 Apr 2015,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Julie,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
197,Five Stars,really helps bring ease to my parent who has trouble swallowing,19 May 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
198,cheaper than the pharmacy,"bought this for work. works better than the pharmacy brand, we use less than we have to use of the cheap stuff.",26 Dec 2012,,,Yes,J. Capone,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=26
199,Works great at thinking liquid.,It works great.,19 Jun 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Lauren12,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
200,Great roduct!,Been using this thickener for my mom and it works great. Also the size of the product helps keeps it cost effective.,04 Jul 2013,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Sagefire,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
201,Easy to use,Easy to use,30 Apr 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Michelle W.,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
202,Good,Just as described,01 May 2020,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Eri,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
203,Easy to use,Like,06 Oct 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Harwant S Gill,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
204,Five Stars,Just what we need for my wife who has a disease causing aspiration when she swallows.....,05 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,David,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
205,Very good,Ye,05 May 2021,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Marie Thomas,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
206,Five Stars,Very good product helped my husband a lot,24 Feb 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Mohga Badran,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
207,Five Stars,The delivery was timely and the product was as we expected.,06 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
208,Five Stars,I will continue to order  Thick-It .  My husband has to have it,14 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Doris,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=25
209,Five Stars,works great,15 Mar 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
210,tHE THICK-IT IS MORE AFFORDABLE,Zi LUV THE PRTICE AND SPEED OF SHIPPMENT,19 Nov 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,itchra2001,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
211,Mixes well with most liquids,The product definitely does as described in the product details.,26 Aug 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amanda Miller,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
212,... tried other Thick-it products and this one is the best. I would definitely recommend this product,I have tried other Thick-it products and this one is the best.  I would definitely recommend this product.,23 Apr 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Saj,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
213,works,we need it,29 Nov 2019,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,pat,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
214,Five Stars,Was what we expected,17 Oct 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
215,Five Stars,Works very well for us,30 Aug 2017,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Amazon Customer,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
216,Five Stars,Good Buy,15 Apr 2018,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Frances Arrington,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
217,Thick,Great,07 Mar 2020,Size: 2.25 Pound (Pack of 1) Style: 36 oz,,Yes,Maja Cabarkapa,5.0,"Thick-It Original Food & Beverage Thickener, 36 oz Canister",https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=24
