"title","content","date","variant","images","verified","author","rating","product","url"
"Thick it","I love the size, it last longer, and it comes with a scoop.","05 Jul 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Jolene Day","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"Four Stars","works well","06 May 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","bufan","4.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"Five Stars","Great purchase for cost","29 Jul 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Lisa","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"Muy bueno","Muy bien gracias 🙂","23 Aug 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Santia","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"yummy","Sure helps my swalloq routine","24 May 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Bill Butler","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"Works well","Works very well for the kiddos we see in clinic.","12 Jan 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","KaleidoscopePediatric Therapy","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=17"
"Works just as it should...👍🏼","Once you figure out the consistency that you want, it works perfect every cup.","09 Nov 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Anthony Campanella","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Great thickener. Read instructiins carefully.","Great product, but note, you can not thicken drinks too far in advance. Also, if thickening water-consistency, it can take a lot more.","01 Sep 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","TR Strawberrie","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Not a good clean taste","Did not care for the taste of this product","07 Jan 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","rujoebanks","2.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"great product","Dissolves easily in all liquids.  Can make it as thick as you need it to be.  Helps my husband not to choke so much.","17 Mar 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Cathy L","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Great product for a good price","Great product for a good price.  Easy to use and is tasteless when used in juices and broths.  I use this for my mother with Alzheimers to prevent her from aspiration of liquids.","18 Feb 2015","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Buster","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"good product for value","Good product for the cost.","12 Oct 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Gloemscrafu","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Helps thicken liquids","Does the job.","23 Sep 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","RBB","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Thick-it review","product works great for people with swallowing problems. Doesn't taste bad I would recommend it because the price is very good.","10 Jun 2015","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","kitty","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Four Stars","it does what its supposed to do.","27 Jul 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Gregory B.","4.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"I love it. My father hate drinking water","I love it. My father hate drinking water, any time you'll give him water he would cough or don't even suck on the straw. He has been hospitalize  many times in a row because of dehydration. After buying this and using it, he's been kept out of the hospital for six months now. I just love this item and very easy to use..","09 Aug 2015","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Alberta Schubert","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=16"
"Five Stars","Great product. Thickens all liquids to whatever consistency that you desire.","23 Feb 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","J Snyder","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Two scoops of Thick-It in his beverages has made life so much better for someone who loves their coffee","My husband has difficulty swallowing liquids without choking.  Two scoops of Thick-It in his beverages has made life so much better for someone who loves their coffee!","20 Jun 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Amazon Customer","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Very pleased, fast service","Great product.  Service extremely fast.  Very, very pleased","23 Sep 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","W. Avery","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Economical","Meets my father’s needs","25 Feb 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Maribel Pimentel","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Very helpful for dysphagia sufferers","Purchased for my mother with vascular dementia and suffering dysphagia. This worked very well with no reported odd taste - which was very helpful as she barely eats anymore and needed tastes to remain authentic in her beverages.","26 Jan 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Shannon","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Five Stars","As described","24 Jul 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Les O","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Works well for my father","Works with any liquid and easy to use.","23 Dec 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Tim Wong","4.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Five Stars","Great service and a dependable product.","27 Dec 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Don","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Keep Stirring","Bought on Amazon. It works but makes some liquids such as coffee and fruit juice unpalatable. It does not mix well and falls out of suspension very quickly.","05 Jun 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","F. P. Dunbar","1.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"No More Choking","Prevents choking incidents with my mother, which is a great relief for both of us. Particularly good price for the 6 pack.","31 Oct 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","EJ","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=15"
"Non foamy","My husband had a stroke & has had trouble swallowing.  I add this to his soda.  The gel thickeners make the soda foamy!  This powder does not.","14 Oct 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Mary Brokaw","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Amaing product.  Saw it on a cooking show.  It works!","Love it.  Thickens without any carba, no flour, no cornstarch.  Amaing product.  Saw it on a cooking show.  Works as promised!","10 Jan 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Marianne H.","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"It was delivered quickly","It thickens drinks perfect.","28 Jun 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Barbie","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Five Stars","Best priced thickener I've found and it does the job!","11 Jun 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","VBS","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Eh","Works as advertised but taste is a bit to get use to","06 Mar 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Robert Nicholas","3.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Pets","Used for my dog who can’t keep water down. Now my Carla can drink all the water she desires. This was recommended to us by our veterinarian. Highly recommend to other pet owners!","28 Mar 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Familia!","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"I like it","I like it","03 Mar 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Amazon Customer","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"good","good","03 Sep 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Hc","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Five Stars","Works well with those who have swallowing difficulties.","26 Jan 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Amazon Customer","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Good product","Easy to use","06 May 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Thea Hammack","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=14"
"Five Stars","Great item.","25 May 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","M Gomez","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Will thicken to various thickness to ease chocking or coughing while drinking fluids.","If prepared as instructed, works great.  Liquid must be cold or hot to work best.","02 Oct 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","CDM","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"muy buen producto","lo utilizo para mi hija 👍","09 Apr 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Víctor p. viveros perez","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Works well","Great product to make liquids more solid. I use it for my grandma and it helps her significantly with swallowing her liquids.","05 Mar 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Jenn Fab","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Works Great","Receive the product and it's the ticket really works well for what I trying to do.","12 Oct 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Amazon Customer","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Tastes bad","Taste is aweful and thickens overtime . I used it for my grandma for ber swallowing problems , and later found Nestle thickener that she prefers much more . The latest also doesn’t require a lot of product for mixing","29 Jan 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","stefan sverdlyuk","3.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Works beautifully","Works beautifully without interfering with the taste of the items it is mixed with.  Easy to use.","12 Nov 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","dfmanley","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Works great","Works great 👍🏽","13 Aug 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","elizabeth luera","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"This is a junk box","Why don’t the water stay thick after you start drinking I am still choking on water because it doesn’t stay thick this is useless","09 Oct 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Tina Vayalil","2.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"luv this product. I use it to thicken my ...","luv this product.  I use it to thicken my homemdae dressings.","27 Sep 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Jerry Guieb","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=13"
"Five Stars","works as expected","30 Nov 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","sanaB","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Great product and acheives its purpose","I really liked this product as it does what it says it's supposed to do. My husband needed this for he had a severely damaged esophagus and had some trouble swallowing and also had a double lung transplant about a year ago-his GI is all messed up and he is on a G/J tube. He can and has aspirated things into his lungs causing pneumonia which isn't good, this helps with keeping him from doing that. It might seem weird but I like putting this stuff into like chicken broth for example and eating it like a soup, it is completely tasteless, has no texture (not gritty, etc) You simply just keep adding however much you want/need until you accomplish the desired consistency. This is also a great product because for its size the prize is unmatched. I am unsure why but if you want to purchase this in a store you have to ask pharmacy for it, and a container this size from behind the walmart pharmacy here was around $70. So, this is easily a steal. Thanks!","27 Feb 2014","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Chelsea","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Useless","Dog wanted nothing to do with this.","13 Feb 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","David Wojtkiewicz","1.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Seal missing!","The product arrived with the seal missing. I will not be using it for my son as it has been tampered with and I don't know if it's been contaminated.","03 Nov 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Carissa Snaza","1.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Works great!","Bigger than what I expected... good thickener!!","11 Feb 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Ana","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"What's important to me is how my food and liquid comes out","This product has many uses. It's just not thinking in water coffee or any other liquids. If you're gravy or any part of the meal is too thin you can add to it with no added taste old texture","06 Aug 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Agnes  melich","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Good","Thickens","23 Sep 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Annette","4.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Like it","Like it Little expensive","06 Oct 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Ilse Wulff","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Five Stars","Works for its purpose","01 Jun 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","R. Francis","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"Great product!","Works great for my husband who has trouble swallowing liquids!","19 Apr 2017","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Sammy","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=12"
"worked well","Worked well for thickening liquid for my dad who was aspirating liquids, etc.","11 Nov 2019","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Amazon Customer","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Excellent food and beverage thickening supplement","I use it for my elderly, bed-ridden mother who has swallowing difficulties specifically swallowing water. Using this product has helped her with no more choking problems1 I, highly, recommend this!","12 Apr 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Kanta Bhambhani","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Easy to mix","I like this product and feel it is a good value.  I mix it to thicken my dad's pureed food.","13 Nov 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Barbra Stattman","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Great product for anyone having swallowing problems","Great product for anyone having swallowing problems. The powder allows the caregiver to control the thickness of the liquid or food that's being given.","21 Nov 2016","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","GLoriaW","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Love it","Great product! Works wonderfully.Dont need to use as much as expected.Doesnt take away from drink being added to nor has an after taste.Best product available","09 Jan 2020","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","Dorinda","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"It worked","Meet my needs","05 Oct 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","greg lurry","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Never clumps & easy to use.","Consistently thickens without clumping! Tub size means a wider mouth container that is easier to use. The person who needs it in order to drink thin liquids loves it  Definitely sticking with this brand!","19 May 2021","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","M","5.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
"Thickens everything well.","It thickens as thick as you need it. Dad did not like us using it but think it was more the texture than flavor","18 Jun 2018","Size: 2.25 Pound (Pack of 1) Style: 36 oz","","Yes","April","4.0","Thick-It Original Food & Beverage Thickener, 36 oz Canister","https://www.amazon.com/Thick-It-RD26929208-36-OZ/product-reviews/B0011TUM3E/ref=cm_cr_arp_d_viewopt_rvwer?ie=UTF8&reviewerType=all_reviews&pageNumber=11"
